8º,"Sociedade, Direito e Cidadania",Engenharia Elétrica,NR01,3QUA,19:00,20:15,
8º,Saúde e Qualidade de Vida ,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
9º,Acionamentos Elétricos,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
9º,Acionamentos Elétricos,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
9º,Instalações e Equipamentos Elétricos Industriais,Engenharia Elétrica,NR01,6SAB,10:05,11:20,
9º,Instalações e Equipamentos Elétricos Industriais,Engenharia Elétrica,NR01,6SAB,11:30,12:45,
9º,Transmissão e Distribuição de Energia Elétrica,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
9º,Transmissão e Distribuição de Energia Elétrica,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
9º,Sistemas de Potência III,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
9º,Sistemas de Potência III,Engenharia Elétrica,NR01,5SEX,20:35,21:50,
10º,Redes TCP/IP - Programação e Aplicações,Engenharia Elétrica,NR01,1SEG,19:00,20:15,
10º,Redes TCP/IP - Programação e Aplicações,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
10º,Automação e Instrumentação II,Engenharia Elétrica,NR01,1SEG,17:30,18:45,
10º,Automação e Instrumentação II,Engenharia Elétrica,NR01,4QUI,17:30,18:45,
10º,Gestão de Empreendimentos de Engenharia,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
10º,Planejamento e Operação de Sistemas Elétricos,Engenharia Elétrica,NR01,3QUA,17:30,18:45,
10º,Tópicos em Sistemas de Energia Elétrica,Engenharia Elétrica,NR01,6SAB,8:40,9:55,
1º,Introdução à Engenharia,Engenharia Mecatrônica,MR01,3QUA,8:40,9:55,
1º,Algoritmos e Programação                                                                  ,Engenharia Mecatrônica,MR01,2TER,7:15,8:30,
1º,Algoritmos e Programação                                                                  ,Engenharia Mecatrônica,MR01,2TER,8:40,9:55,
1º,Cálculo I,Engenharia Mecatrônica,MR01,1SEG,7:15,8:30,
1º,Cálculo I,Engenharia Mecatrônica,MR01,1SEG,8:40,9:55,
1º,Química Geral,Engenharia Mecatrônica,MR01,4QUI,7:15,8:30,
1º,Química Geral - PA,Engenharia Mecatrônica,MR01,4QUI,8:40,9:55,
1º,Química Geral - PB,Engenharia Mecatrônica,MR01,4QUI,10:05,11:20,
1º,Comunicação Profissional,Engenharia Mecatrônica,MR01,3QUA,10:05,11:20,
,,Engenharia Mecatrônica,,,,,
1º,Introdução à Engenharia,Engenharia Mecatrônica,VR01,5SEX,19:00,20:15,
1º,Algoritmos e Programação                                                                  ,Engenharia Mecatrônica,VR01,5SEX,20:35,21:50,
1º,Algoritmos e Programação                                                                  ,Engenharia Mecatrônica,VR01,1SEG,17:30,18:45,
1º,Cálculo I,Engenharia Mecatrônica,VR01,3QUA,17:30,18:45,
